State,Latitude,Longitude,Pollutant,Average,Pollutant Standard
California,33.859662,-118.20070700000001,PM2.5 - Local Conditions,11.013611000000001,PM25 Annual 2012
California,33.859662,-118.20070700000001,PM2.5 - Local Conditions,13.225641,PM25 Annual 2012
California,34.669739,-118.13051100000001,PM2.5 - Local Conditions,6.133889,PM25 Annual 2012
California,36.953256,-120.034203,PM2.5 - Local Conditions,8.863333,PM25 Annual 2012
California,36.953256,-120.034203,PM2.5 - Local Conditions,10.085019,PM25 Annual 2012
California,37.97231,-122.520004,PM2.5 - Local Conditions,6.38017,PM25 Annual 2012
California,39.15047,-123.20655,PM2.5 - Local Conditions,6.005014,PM25 Annual 2012
California,39.41174,-123.35264,PM2.5 - Local Conditions,5.294633,PM25 Annual 2012
California,37.281853000000005,-120.43367099999999,PM2.5 - Local Conditions,9.18078,PM25 Annual 2012
California,37.30832,-120.480456,PM2.5 - Local Conditions,9.553333,PM25 Annual 2012
California,37.64571,-118.96651999999999,PM2.5 - Local Conditions,5.322581,PM25 Annual 2012
California,37.64571,-118.96651999999999,PM2.5 - Local Conditions,8.529132,PM25 Annual 2012
California,37.962069,-119.120278,PM2.5 - Local Conditions,3.193805,PM25 Annual 2012
California,36.48187,-121.73333000000001,PM2.5 - Local Conditions,3.6684360000000003,PM25 Annual 2012
California,36.209286,-121.12637099999999,PM2.5 - Local Conditions,5.523611,PM25 Annual 2012
California,36.694261,-121.623271,PM2.5 - Local Conditions,5.638333,PM25 Annual 2012
California,36.694261,-121.623271,PM2.5 - Local Conditions,4.143733,PM25 Annual 2012
California,38.278849,-122.275024,PM2.5 - Local Conditions,5.923099,PM25 Annual 2012
California,39.233477,-121.055608,PM2.5 - Local Conditions,4.221667,PM25 Annual 2012
California,39.233477,-121.055608,PM2.5 - Local Conditions,6.250282,PM25 Annual 2012
California,39.32783,-120.184592,PM2.5 - Local Conditions,5.324107,PM25 Annual 2012
California,33.83062,-117.93845,PM2.5 - Local Conditions,9.402305,PM25 Annual 2012
California,33.83062,-117.93845,PM2.5 - Local Conditions,9.325145,PM25 Annual 2012
California,33.83062,-117.93845,PM2.5 - Local Conditions,9.402305,PM25 Annual 2012
California,33.63003,-117.67593000000001,PM2.5 - Local Conditions,7.139639999999999,PM25 Annual 2012
California,38.93568,-121.09958999999999,PM2.5 - Local Conditions,7.162605999999999,PM25 Annual 2012
California,38.74643,-121.26498000000001,PM2.5 - Local Conditions,6.562711999999999,PM25 Annual 2012
California,38.74643,-121.26498000000001,PM2.5 - Local Conditions,6.25,PM25 Annual 2012
California,39.939567,-120.944376,PM2.5 - Local Conditions,7.727189999999999,PM25 Annual 2012
California,39.813359999999996,-120.47068999999999,PM2.5 - Local Conditions,12.162376,PM25 Annual 2012
California,39.813359999999996,-120.47068999999999,PM2.5 - Local Conditions,11.0,PM25 Annual 2012
California,33.447866999999995,-117.088649,PM2.5 - Local Conditions,4.573451,PM25 Annual 2012
California,33.447866999999995,-117.088649,PM2.5 - Local Conditions,4.985714,PM25 Annual 2012
California,33.747236,-115.82012399999999,PM2.5 - Local Conditions,5.182182,PM25 Annual 2012
California,33.71969,-116.1897,PM2.5 - Local Conditions,7.219666999999999,PM25 Annual 2012
California,33.944713,-116.830074,PM2.5 - Local Conditions,7.305028,PM25 Annual 2012
California,33.944713,-116.830074,PM2.5 - Local Conditions,5.623529,PM25 Annual 2012
California,33.708529999999996,-116.21537,PM2.5 - Local Conditions,7.369492,PM25 Annual 2012
California,33.85275,-116.54101000000001,PM2.5 - Local Conditions,6.073109,PM25 Annual 2012
California,33.99958,-117.41601000000001,PM2.5 - Local Conditions,11.193143,PM25 Annual 2012
California,33.99958,-117.41601000000001,PM2.5 - Local Conditions,11.193143,PM25 Annual 2012
California,33.99958,-117.41601000000001,PM2.5 - Local Conditions,11.065616,PM25 Annual 2012
California,33.99958,-117.41601000000001,PM2.5 - Local Conditions,10.884483,PM25 Annual 2012
California,33.996359999999996,-117.4924,PM2.5 - Local Conditions,12.691292,PM25 Annual 2012
California,33.996359999999996,-117.4924,PM2.5 - Local Conditions,12.572958,PM25 Annual 2012
California,33.996359999999996,-117.4924,PM2.5 - Local Conditions,12.691292,PM25 Annual 2012
California,33.996359999999996,-117.4924,PM2.5 - Local Conditions,11.988136,PM25 Annual 2012
California,38.613779,-121.36801399999999,PM2.5 - Local Conditions,8.398529,PM25 Annual 2012
California,38.613779,-121.36801399999999,PM2.5 - Local Conditions,6.242857,PM25 Annual 2012
California,38.56844,-121.49311000000002,PM2.5 - Local Conditions,7.652100999999999,PM25 Annual 2012
California,38.683304,-121.16445700000001,PM2.5 - Local Conditions,5.9265,PM25 Annual 2012
California,38.683304,-121.16445700000001,PM2.5 - Local Conditions,6.496985,PM25 Annual 2012
California,38.593322,-121.503795,PM2.5 - Local Conditions,8.385964999999999,PM25 Annual 2012
California,38.494475,-121.21113100000001,PM2.5 - Local Conditions,4.778771,PM25 Annual 2012
California,36.843425,-121.3621,PM2.5 - Local Conditions,4.918258,PM25 Annual 2012
California,34.030833,-117.61721999999999,PM2.5 - Local Conditions,12.66392,PM25 Annual 2012
California,34.030833,-117.61721999999999,PM2.5 - Local Conditions,12.791501,PM25 Annual 2012
California,34.030833,-117.61721999999999,PM2.5 - Local Conditions,12.791501,PM25 Annual 2012
California,34.030833,-117.61721999999999,PM2.5 - Local Conditions,15.536415,PM25 Annual 2012
