state,city,latitude,longitude,pollutant,average
Georgia,Atlanta,33.802240999999995,-84.43561799999998,PM2.5 - Local Conditions,9.09
Georgia,Atlanta,33.778400000000005,-84.3914,PM2.5 - Local Conditions,9.516529
Georgia,Brunswick,31.169805,-81.495035,PM2.5 - Local Conditions,7.6354549999999985
Georgia,Warner Robins,32.6056,-83.5978,PM2.5 - Local Conditions,7.854700999999999
Georgia,Valdosta,30.8486,-83.2933,PM2.5 - Local Conditions,7.527193
Georgia,Columbus,32.4842,-84.97890000000002,PM2.5 - Local Conditions,9.083051
Georgia,Columbus,32.521272,-84.94463499999998,PM2.5 - Local Conditions,8.738983000000001
Georgia,Columbus,32.429700000000004,-84.9316,PM2.5 - Local Conditions,8.621667
Georgia,,34.9788,-85.3009,PM2.5 - Local Conditions,8.155237999999999
Georgia,Sandersville,32.967359,-82.806871,PM2.5 - Local Conditions,8.168000000000001
Hawaii,Hawaii Volcanoes National Park,19.4308,-155.2578,PM2.5 - Local Conditions,-1.006569
Hawaii,Hilo,19.717562,-155.11052999999995,PM2.5 - Local Conditions,3.197989
Hawaii,Hilo,19.717562,-155.11052999999995,PM2.5 - Local Conditions,3.144253
Hawaii,Kealakekua,19.509778,-155.91341699999995,PM2.5 - Local Conditions,2.263611
Hawaii,Kealakekua,19.509778,-155.91341699999995,PM2.5 - Local Conditions,2.237222
Hawaii,Pahala,19.2039,-155.480183,PM2.5 - Local Conditions,2.693239
Hawaii,Pahala,19.2039,-155.480183,PM2.5 - Local Conditions,2.6
Hawaii,Hawaiian Ocean View,19.117561,-155.77813600000002,PM2.5 - Local Conditions,2.479592
Hawaii,Hawaiian Ocean View,19.117561,-155.77813600000002,PM2.5 - Local Conditions,2.6034990000000002
Hawaii,Mountain View,19.555444,-155.102028,PM2.5 - Local Conditions,1.661625
Hawaii,Mountain View,19.555444,-155.102028,PM2.5 - Local Conditions,1.604482
Hawaii,,21.323745000000002,-158.08861299999998,PM2.5 - Local Conditions,1.80086
Hawaii,,21.949599,-159.36624,PM2.5 - Local Conditions,2.906471
Hawaii,Kahului,20.869627,-156.493626,PM2.5 - Local Conditions,3.4133129999999996
Idaho,,43.600699,-116.347853,PM2.5 - Local Conditions,5.261739
Idaho,,47.316577,-116.571281,PM2.5 - Local Conditions,10.070809
Idaho,,47.316577,-116.571281,PM2.5 - Local Conditions,10.019825
Idaho,Nampa,43.58031,-116.562676,PM2.5 - Local Conditions,6.860185
Idaho,Preston,42.082221999999994,-111.864167,PM2.5 - Local Conditions,5.7939479999999985
Idaho,,42.68,-114.2525,PM2.5 - Local Conditions,3.927479
Idaho,,45.181897,-113.890285,PM2.5 - Local Conditions,8.207825999999999
Idaho,Pinehurst (Pine Creek),47.536389,-116.236667,PM2.5 - Local Conditions,9.655682
Idaho,Pinehurst (Pine Creek),47.536389,-116.236667,PM2.5 - Local Conditions,9.605158
Illinois,Champaign,40.123886,-88.24055299999998,PM2.5 - Local Conditions,7.542609
Illinois,Bondville,40.05278,-88.37250999999998,PM2.5 - Local Conditions,7.6776860000000005
Illinois,Alsip,41.670992,-87.732457,PM2.5 - Local Conditions,7.981132000000001
Illinois,Chicago,41.687165,-87.539315,PM2.5 - Local Conditions,9.633673
Illinois,Chicago,41.965485,-87.749928,PM2.5 - Local Conditions,9.1625
Illinois,Chicago,41.912739,-87.722673,PM2.5 - Local Conditions,8.633929
Illinois,Chicago,41.7514,-87.713488,PM2.5 - Local Conditions,8.259322000000001
Illinois,McCook,41.80118,-87.832349,PM2.5 - Local Conditions,9.970536
Illinois,Schiller Park,41.965193,-87.87626499999998,PM2.5 - Local Conditions,10.841228
Illinois,Summit,41.782766,-87.80537700000001,PM2.5 - Local Conditions,9.303478
Illinois,Northbrook,42.139996000000004,-87.799227,PM2.5 - Local Conditions,7.704274000000001
Illinois,Cicero,41.864426,-87.748902,PM2.5 - Local Conditions,9.011864
Illinois,Elgin,42.050403,-88.28001499999998,PM2.5 - Local Conditions,8.511503999999999
Illinois,Aurora,41.784717,-88.329374,PM2.5 - Local Conditions,8.888235
Illinois,Cary,42.221442,-88.242207,PM2.5 - Local Conditions,7.789830999999999
Illinois,Granite City,38.700632,-90.144763,PM2.5 - Local Conditions,11.235714
Illinois,Granite City,38.704534,-90.139675,PM2.5 - Local Conditions,10.452632000000001
Illinois,Alton,38.903085,-90.143168,PM2.5 - Local Conditions,9.088182000000002
Illinois,Wood River,38.860669,-90.105851,PM2.5 - Local Conditions,9.05625
Illinois,East Saint Louis,38.612034,-90.160477,PM2.5 - Local Conditions,9.155357
Indiana,Jeffersonville,38.277704,-85.740099,PM2.5 - Local Conditions,8.593333
Indiana,,38.393822,-85.664118,PM2.5 - Local Conditions,7.405556
Indiana,Jeffersonville,38.288191,-85.741337,PM2.5 - Local Conditions,9.066667
Indiana,Muncie,40.199502,-85.387908,PM2.5 - Local Conditions,8.335
Indiana,Jasper,38.391799,-86.92966799999998,PM2.5 - Local Conditions,8.430252000000001
Indiana,,38.985477,-86.99041899999999,PM2.5 - Local Conditions,7.709244
Indiana,Carmel,39.928804,-86.078775,PM2.5 - Local Conditions,10.156481
Indiana,Middletown,40.009544,-85.52346999999999,PM2.5 - Local Conditions,7.679831999999998
Indiana,East Chicago,41.636127,-87.440843,PM2.5 - Local Conditions,8.752542
Indiana,Gary,41.606667,-87.304722,PM2.5 - Local Conditions,8.455085
Indiana,Gary,41.573239,-87.40590499999998,PM2.5 - Local Conditions,9.350413
Indiana,Gary,41.598505,-87.342991,PM2.5 - Local Conditions,9.213158
Indiana,East Chicago,41.653446,-87.435435,PM2.5 - Local Conditions,11.947826
Indiana,Hammond,41.594427,-87.495044,PM2.5 - Local Conditions,8.620339
Indiana,Michigan City,41.707212,-86.891216,PM2.5 - Local Conditions,7.873728999999999
Indiana,Indianapolis (Remainder),39.744993,-86.16646399999998,PM2.5 - Local Conditions,10.640171
Indiana,Indianapolis (Remainder),39.810833,-86.11444399999998,PM2.5 - Local Conditions,9.357143
Indiana,Indianapolis (Remainder),39.788903000000005,-86.21462799999998,PM2.5 - Local Conditions,10.334746
Indiana,Indianapolis (Remainder),39.774979,-86.12201999999998,PM2.5 - Local Conditions,9.530973
Indiana,Indianapolis (Remainder),39.758855,-86.115415,PM2.5 - Local Conditions,9.493277
Indiana,Indianapolis (Remainder),39.787933,-86.13087999999998,PM2.5 - Local Conditions,10.289256
Indiana,Bloomington,39.159383,-86.504762,PM2.5 - Local Conditions,7.561344999999998
Indiana,South Bend,41.696659999999994,-86.214722,PM2.5 - Local Conditions,8.277586
Indiana,Dale,38.167523,-86.98321399999998,PM2.5 - Local Conditions,7.917948999999999
Indiana,,39.044992,-87.258969,PM2.5 - Local Conditions,8.124138
Indiana,Evansville,37.974436,-87.53228899999998,PM2.5 - Local Conditions,8.694118
Indiana,Evansville,38.013333,-87.57722199999998,PM2.5 - Local Conditions,8.405882
Indiana,Terre Haute,39.485987,-87.40131199999998,PM2.5 - Local Conditions,9.280992
Indiana,,41.169646,-85.62929199999998,PM2.5 - Local Conditions,7.990264999999999
Iowa,Waterloo,42.501543,-92.316017,PM2.5 - Local Conditions,7.670833
Iowa,Clinton,41.823283,-90.211982,PM2.5 - Local Conditions,8.971667
Iowa,Clinton,41.874999,-90.177574,PM2.5 - Local Conditions,8.234710999999999
Iowa,Iowa City,41.657232,-91.503478,PM2.5 - Local Conditions,7.611714
Iowa,Keokuk,40.400959,-91.391012,PM2.5 - Local Conditions,8.281666999999999
