state_code,county_code,site_num,latitude,longitude,parameter_name_x,sample_duration_x,metric_used_x,units_x,mean_x,stv_x,poc_x,state_name_x,county_name_x,city_name_x,parameter_name_y,sample_duration_y,metric_used_y,units_y,mean_y,stv_y,poc_y,state_name_y,county_name_y,city_name_y
4,13,4008,33.82169,-112.01726,Ozone,1 HOUR,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),Parts per million,0.055266,0.011302,1,Arizona,Maricopa,Cave Creek,,,,,,,,,,
4,13,4008,33.82169,-112.01726,Ozone,1 HOUR,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),Parts per million,0.055127,0.011176,1,Arizona,Maricopa,Cave Creek,,,,,,,,,,
4,13,4010,33.63718,-112.34185,Ozone,1 HOUR,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),Parts per million,0.051597,0.010053,1,Arizona,Maricopa,Surprise,,,,,,,,,,
4,13,4011,33.36985,-112.62068,Ozone,1 HOUR,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),Parts per million,0.047408,0.009703,1,Arizona,Maricopa,Buckeye,,,,,,,,,,
4,13,7003,33.290229,-112.160597,Ozone,1 HOUR,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),Parts per million,0.054051,0.008464,1,Arizona,Maricopa,,,,,,,,,,,
4,13,7020,33.488131,-111.855443,Ozone,1 HOUR,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),Parts per million,0.05353,0.013548,1,Arizona,Maricopa,Scottsdale,PM2.5 - Local Conditions,24 HOUR,Daily Mean,Micrograms/cubic meter (LC),5.62459,2.110186,1,Arizona,Maricopa,Scottsdale
4,13,7021,33.507992,-111.755334,Ozone,1 HOUR,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),Parts per million,0.054467,0.013726,1,Arizona,Maricopa,Scottsdale,,,,,,,,,,
4,13,7022,33.474609,-111.805769,Ozone,1 HOUR,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),Parts per million,0.052378,0.013379,1,Arizona,Maricopa,Mesa,,,,,,,,,,
4,13,7024,33.508125,-111.83852,Ozone,1 HOUR,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),Parts per million,0.051775,0.012882,1,Arizona,Maricopa,Scottsdale,,,,,,,,,,
4,13,9508,33.9828,-111.79871,Ozone,1 HOUR,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),Parts per million,0.056263,0.010257,1,Arizona,Maricopa,,,,,,,,,,,
4,13,9508,33.9828,-111.79871,Ozone,1 HOUR,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),Parts per million,0.056263,0.010257,1,Arizona,Maricopa,,,,,,,,,,,
4,13,9508,33.9828,-111.79871,Ozone,1 HOUR,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),Parts per million,0.055876,0.009799,1,Arizona,Maricopa,,,,,,,,,,,
4,13,9702,33.54558,-111.60972,Ozone,1 HOUR,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),Parts per million,0.055401,0.012742,1,Arizona,Maricopa,Blue Point (District),,,,,,,,,,
4,13,9702,33.54558,-111.60972,Ozone,1 HOUR,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),Parts per million,0.055401,0.012742,1,Arizona,Maricopa,Blue Point (District),,,,,,,,,,
4,13,9702,33.54558,-111.60972,Ozone,1 HOUR,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),Parts per million,0.055314,0.012651,1,Arizona,Maricopa,Blue Point (District),,,,,,,,,,
4,13,9704,33.61092,-111.72534,Ozone,1 HOUR,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),Parts per million,0.052463,0.01226,1,Arizona,Maricopa,Fountain Hills,,,,,,,,,,
4,13,9704,33.61092,-111.72534,Ozone,1 HOUR,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),Parts per million,0.052555,0.012369,1,Arizona,Maricopa,Fountain Hills,,,,,,,,,,
4,13,9704,33.61092,-111.72534,Ozone,1 HOUR,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),Parts per million,0.052555,0.012369,1,Arizona,Maricopa,Fountain Hills,,,,,,,,,,
4,13,9997,33.503833,-112.095767,Ozone,1 HOUR,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),Parts per million,0.052717,0.012325,1,Arizona,Maricopa,Phoenix,PM2.5 - Local Conditions,24 HOUR,Daily Mean,Micrograms/cubic meter (LC),6.963025,3.542284,1,Arizona,Maricopa,Phoenix
4,17,119,34.82251,-109.89249,Ozone,1 HOUR,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),Parts per million,0.050101,0.00879,1,Arizona,Navajo,,,,,,,,,,,
4,19,21,32.174538,-110.737116,Ozone,1 HOUR,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),Parts per million,0.051389,0.009661,1,Arizona,Pima,,,,,,,,,,,
4,19,1011,32.204411,-110.878067,Ozone,1 HOUR,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),Parts per million,0.050664,0.009864,1,Arizona,Pima,Tucson,,,,,,,,,,
4,19,1018,32.425261,-111.06352,Ozone,1 HOUR,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),Parts per million,0.048882,0.00868,1,Arizona,Pima,Marana,,,,,,,,,,
4,19,1020,32.04767,-110.774357,Ozone,1 HOUR,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),Parts per million,0.050368,0.009908,1,Arizona,Pima,Tucson,,,,,,,,,,
4,19,1028,32.29515,-110.9823,Ozone,1 HOUR,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),Parts per million,0.050091,0.009722,1,Arizona,Pima,Tucson,,,,,,,,,,
4,19,1030,31.87952,-110.99644,Ozone,1 HOUR,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),Parts per million,0.048544,0.008223,1,Arizona,Pima,Green Valley,,,,,,,,,,
4,19,1032,32.172995,-110.980134,Ozone,1 HOUR,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),Parts per million,0.046518,0.008643,1,Arizona,Pima,Tucson,,,,,,,,,,
4,19,1034,32.38082,-111.12716,Ozone,1 HOUR,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),Parts per million,0.047853,0.009308,1,Arizona,Pima,Marana,,,,,,,,,,
4,21,3001,33.4214,-111.5436,Ozone,1 HOUR,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),Parts per million,0.052773,0.013347,1,Arizona,Pinal,Apache Junction,,,,,,,,,,
4,21,3003,32.954361,-111.76225,Ozone,1 HOUR,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),Parts per million,0.049618,0.009777,1,Arizona,Pinal,Casa Grande,,,,,,,,,,
4,21,3007,32.508306,-111.308056,Ozone,1 HOUR,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),Parts per million,0.049807,0.009459,1,Arizona,Pinal,Red Rock,,,,,,,,,,
4,21,7001,33.081704,-111.752943,Ozone,1 HOUR,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),Parts per million,0.054164,0.008846,1,Arizona,Pinal,Sacaton,,,,,,,,,,
4,21,8001,33.293465,-111.285594,Ozone,1 HOUR,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),Parts per million,0.054727,0.011441,1,Arizona,Pinal,Queen Valley,,,,,,,,,,
4,25,8034,34.612055,-112.463213,Ozone,1 HOUR,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),Parts per million,0.050112,0.007086,3,Arizona,Yavapai,Prescott,,,,,,,,,,
4,27,8011,32.690278,-114.61444,Ozone,1 HOUR,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),Parts per million,0.050301,0.010155,1,Arizona,Yuma,Yuma,,,,,,,,,,
4,1,1235,35.880404,-109.438003,,,,,,,,Arizona,,,PM2.5 - Local Conditions,24 HOUR,Daily Mean,Micrograms/cubic meter (LC),1.881818,0.919877,1,Arizona,Apache,Nazlini (Trading Post)
4,21,1,32.877583,-111.752222,,,,,,,,Arizona,,,PM2.5 - Local Conditions,24 HOUR,Daily Mean,Micrograms/cubic meter (LC),6.892437,2.886795,1,Arizona,Pinal,Casa Grande
4,21,3002,33.421194,-111.503222,,,,,,,,Arizona,,,PM2.5 - Local Conditions,24 HOUR,Daily Mean,Micrograms/cubic meter (LC),4.235345,1.624018,1,Arizona,Pinal,Apache Junction
4,21,3015,32.884761,-112.03705,,,,,,,,Arizona,,,PM2.5 - Local Conditions,24 HOUR,Daily Mean,Micrograms/cubic meter (LC),11.372951,6.814581,1,Arizona,Pinal,Stanfield
4,23,4,31.337204,-110.936718,,,,,,,,Arizona,,,PM2.5 - Local Conditions,24 HOUR,Daily Mean,Micrograms/cubic meter (LC),8.377049,5.54086,1,Arizona,Santa Cruz,Nogales
5,19,9991,34.1795,-93.0988,Ozone,1 HOUR,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),Parts per million,0.04194,0.01056,1,Arkansas,Clark,,,,,,,,,,,
5,35,5,35.197288,-90.193141,Ozone,1 HOUR,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),Parts per million,0.047171,0.012164,1,Arkansas,Crittenden,Marion,PM2.5 - Local Conditions,24 HOUR,Daily Mean,Micrograms/cubic meter (LC),8.278151,3.676659,1,Arkansas,Crittenden,Marion
5,101,2,35.832726,-93.20826,Ozone,1 HOUR,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),Parts per million,0.043484,0.008815,1,Arkansas,Newton,,,,,,,,,,,
5,113,3,34.454514,-94.143521,Ozone,1 HOUR,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),Parts per million,0.046186,0.009621,1,Arkansas,Polk,Mena,,,,,,,,,,
5,119,7,34.756189,-92.281296,Ozone,1 HOUR,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),Parts per million,0.040162,0.011507,1,Arkansas,Pulaski,North Little Rock,PM2.5 - Local Conditions,24 HOUR,Daily Mean,Micrograms/cubic meter (LC),9.487989,4.133974,1,Arkansas,Pulaski,North Little Rock
5,119,1002,34.835721,-92.260581,Ozone,1 HOUR,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),Parts per million,0.044814,0.010598,1,Arkansas,Pulaski,North Little Rock,,,,,,,,,,
5,143,5,36.1797,-94.116827,Ozone,1 HOUR,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),Parts per million,0.044553,0.009801,1,Arkansas,Washington,Springdale,PM2.5 - Local Conditions,24 HOUR,Daily Mean,Micrograms/cubic meter (LC),8.0075,3.696084,1,Arkansas,Washington,Springdale
5,143,6,36.011703,-94.167436,Ozone,1 HOUR,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),Parts per million,0.044456,0.009626,1,Arkansas,Washington,Fayetteville,,,,,,,,,,
5,1,11,34.518515,-91.55896,,,,,,,,Arkansas,,,PM2.5 - Local Conditions,24 HOUR,Daily Mean,Micrograms/cubic meter (LC),7.930508,4.149586,1,Arkansas,Arkansas,Stuttgart
5,3,5,33.139471,-91.939208,,,,,,,,Arkansas,,,PM2.5 - Local Conditions,24 HOUR,Daily Mean,Micrograms/cubic meter (LC),8.195,3.717116,1,Arkansas,Ashley,Crossett
